index,rating,title,text,actual_sentiment,predicted_sentiment,correct,llm_emotion,llm_confidence,nrc_emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
134,3.0,Three Stars,Problem transferring to account.,NEUTRAL,NEGATIVE,False,anger,0.8,fear,0,0,0,1,0,1,0,1
135,3.0,Why didn't I receive my extra $10 for adding $100 to acct balance,Why did it not give me the $10 extra for my balance being $100 like it said,NEUTRAL,NEGATIVE,False,anger,0.9,,0,0,0,0,0,0,0,0
136,1.0,Waste of money,Pizza Hut did not accept this gift card.,NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,1,2,1,0,2,1,2,1
137,3.0,Three Stars,Too slow for transactions.,NEUTRAL,NEGATIVE,False,anger,0.9,,0,0,0,0,0,0,0,0
138,3.0,Three Stars,It's fine.,NEUTRAL,NEUTRAL,True,trust,0.8,,0,0,0,0,0,0,0,0
139,5.0,Five Stars,love it,POSITIVE,POSITIVE,True,joy,0.95,joy,0,0,0,0,1,0,0,0
140,5.0,great!!,fast and easy!,POSITIVE,POSITIVE,True,joy,0.95,,0,0,0,0,0,0,0,0
141,1.0,CARD DID NOT WORK!!!!!,DO NOT BUY GIFT CARDS on Amazon - I did for a gift and it didn’t work. Paid 50 dollars!! Not sure if I will get a refund from Amazon!!!  Never did get a refund from Amazon!,NEGATIVE,NEGATIVE,True,anger,0.98,anticipation,0,2,0,0,2,0,2,0
142,1.0,Does not function like true gift card...,"This card will only let you redeem for 12 months of premium. It will not work with family, student, or any other discounts. Also, there is a limit on the number of months you can purchase with gift cards. Despite being listed correctly in terms, this card may not function as you would think if you have any special accounts.",NEGATIVE,NEGATIVE,True,anger,0.9,joy,0,2,0,0,4,0,2,2
143,3.0,IT DOESNT APPLY THE 10.00 dlls DISCOUNT OFFER AFTER RELOADING THE CARD,"Is definitely easy to use. However NEVER GIVES ME THE PROMISE PRICE!!!<br />Every time I’m offered to reload de card and offers me the 10.00 less/discount/promo/offer from for my order n shipment orinal price,  IT DOES’NT  APLIES The 10.00 less to the order.",NEUTRAL,NEGATIVE,False,anger,0.9,anticipation,0,1,0,0,1,0,0,1
144,1.0,One Star,I don't see any $10 gift for reloading $100. Scam.,NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,2,0,0,2,0,1,1
145,3.0,several of these were torn!,I ordered 25 gift cards and several were wrinkled and/or torn!  This has never happened before.  I feel as though at least 5 ($125!) cards are unusable!,NEUTRAL,NEGATIVE,False,anger,0.95,anticipation,0,1,0,0,1,1,1,0
146,2.0,", please cancel my mistakes on the gift card it was accidentally  ordered",Don't like that there's not an option to cancel when a mistakes is made on amount I need that  0  balance cancel it was a mistakes order Diane Hicks 8702670677,NEGATIVE,NEGATIVE,True,anger,0.9,sadness,0,1,0,0,1,3,2,0
147,1.0,Worst experience ever as not able to use it on ...,Worst experience ever as not able to use it on both us and uk site or give it to someone.,NEGATIVE,NEGATIVE,True,anger,0.95,,0,0,0,0,0,0,0,0
148,2.0,gift card,"me and my husband went to this resturant for a date night away from the kids, the ambiances is great the steaks was fanatistic, however; the wait time with reservation was over an hour the salad had great presentation but was not appeasing, nor was the lobster flavorless tail. we have no anticipation of returning to this resturant. the only thumbs up that it recieves is the mouth watering steaks.",NEGATIVE,NEGATIVE,True,sadness,0.7,anticipation,0,4,0,0,1,0,2,0
149,3.0,Three Stars,OK,NEUTRAL,NEUTRAL,True,trust,0.6,,0,0,0,0,0,0,0,0
